#,Overall,Points,Value
53,Bhayshul Tuten (JAC - RB),58,$58
54,Mike Evans (SF - WR)DTD,57,$57
55,Colston Loveland (CHI - TE),56,$56
56,Marvin Harrison Jr. (ARI - WR),54,$54
57,Christian Watson (GB - WR),53,$53
58,Courtland Sutton (DEN - WR),53,$53
59,Alec Pierce (IND - WR)DTD,53,$53
60,DK Metcalf (PIT - WR),52,$52
61,David Montgomery (HOU - RB),51,$51
62,Jadarian Price (SEA - RB),48,$48
63,TreVeyon Henderson (NE - RB)DTD,46,$46
64,Rhamondre Stevenson (NE - RB),46,$46
65,Jaylen Warren (PIT - RB),45,$45
66,Tony Pollard (TEN - RB),45,$45
67,Tyler Warren (IND - TE)DTD,45,$45
68,Lamar Jackson (BAL - QB),44,$44
69,Parker Washington (JAC - WR),44,$44
70,Brian Thomas Jr. (JAC - WR)DTD,43,$43
71,Harold Fannin Jr. (CLE - TE),43,$43
72,Jayden Daniels (WAS - QB),42,$42
73,J.K. Dobbins (DEN - RB),42,$42
74,Michael Pittman Jr. (PIT - WR),41,$41
75,Jalen Hurts (PHI - QB),40,$40
76,Drake Maye (NE - QB),40,$40
77,Rico Dowdle (PIT - RB),40,$40
78,Carnell Tate (TEN - WR),38,$38
79,Jakobi Meyers (JAC - WR)DTD,37,$37
80,Michael Wilson (ARI - WR),37,$37
81,George Kittle (SF - TE)DTD,37,$37
82,Jayden Reed (GB - WR),36,$36
83,Quentin Johnston (LAC - WR)DTD,36,$36
84,Kyle Pitts Sr. (ATL - TE),36,$36
85,Sam LaPorta (DET - TE)DTD,36,$36
86,Chuba Hubbard (CAR - RB)DTD,35,$35
87,Chris Godwin Jr. (TB - WR),35,$35
88,Jordan Addison (MIN - WR),34,$34
89,Dallas Goedert (PHI - TE),34,$34
90,Joe Burrow (CIN - QB),33,$33
91,Xavier Worthy (KC - WR)DTD,33,$33
92,Tucker Kraft (GB - TE)DTD,33,$33
93,Jaxson Dart (NYG - QB),32,$32
94,Jonathon Brooks (CAR - RB),32,$32
95,Wan'Dale Robinson (TEN - WR)DTD,32,$32
96,Travis Kelce (KC - TE),32,$32
97,Brock Purdy (SF - QB),31,$31
98,Kenny Gainwell (TB - RB),31,$31
99,KC Concepcion (CLE - WR),31,$31
100,Trevor Lawrence (JAC - QB),30,$30
101,Dak Prescott (DAL - QB),30,$30
102,Kyle Monangai (CHI - RB)DTD,30,$30
103,Rachaad White (WAS - RB)DTD,30,$30
104,Jacory Croskey-Merritt (WAS - RB)DTD,29,$29
105,Aaron Jones Sr. (MIN - RB),29,$29
106,Romeo Doubs (NE - WR),29,$29
107,Deebo Samuel Sr. (SF - WR),29,$29
108,RJ Harvey (DEN - RB),28,$28
109,Jordan Mason (MIN - RB),28,$28
110,De'Zhaun Stribling (SF - WR),28,$28
111,Stefon Diggs (WAS - WR),28,$28
112,Matthew Golden (GB - WR),28,$28
113,Patrick Mahomes II (KC - QB)DTD,27,$27
114,Rashid Shaheed (SEA - WR),27,$27
115,Caleb Williams (CHI - QB),26,$26
116,Khalil Shakir (BUF - WR)DTD,26,$26
117,Josh Downs (IND - WR)DTD,26,$26
118,Mark Andrews (BAL - TE),26,$26
119,Justin Herbert (LAC - QB),25,$25
120,Blake Corum (LAR - RB),25,$25
121,Jalen Coker (CAR - WR),25,$25
122,Denzel Boston (CLE - WR),25,$25
123,Bo Nix (DEN - QB),24,$24
124,Jerry Jeudy (CLE - WR),24,$24
125,Calvin Ridley (TEN - WR),23,$23
126,Makai Lemon (PHI - WR),23,$23
127,Isaiah Likely (NYG - TE),23,$23
128,Dalton Kincaid (BUF - TE),21,$21
129,Matthew Stafford (LAR - QB),20,$20
130,Jake Ferguson (DAL - TE),20,$20
131,Tre Tucker (LV - WR),19,$19
132,Tyjae Spears (TEN - RB),18,$18
133,Rashod Bateman (BAL - WR),18,$18
134,Isiah Pacheco (DET - RB)DTD,17,$17
135,Zach Charbonnet (SEA - RB)PUP,17,$17
136,Woody Marks (HOU - RB),17,$17
137,Keenan Allen (IND - WR),17,$17
138,Jared Goff (DET - QB),16,$16
139,Jalen McMillan (TB - WR)DTD,16,$16
140,Tyler Shough (NO - QB),15,$15
141,Jauan Jennings (MIN - WR),15,$15
142,Hunter Henry (NE - TE),15,$15
143,Ja'Kobi Lane (BAL - WR),14,$14
144,Baker Mayfield (TB - QB),13,$13
145,Jalen Nailor (LV - WR),13,$13
146,Juwan Johnson (NO - TE),13,$13
147,Brenton Strange (JAC - TE),13,$13
148,Kyler Murray (MIN - QB),12,$12
149,Alvin Kamara (NO - RB)INJ,12,$12
150,Devaughn Vele (NO - WR),11,$11
151,Kayshon Boutte (HOU - WR),11,$11
152,Cooper Kupp (SEA - WR),11,$11
153,MarShawn Lloyd (GB - RB),10,$10
154,Justice Hill (BAL - RB),10,$10
155,Daniel Jones (IND - QB),9,$9
156,Chris Rodriguez Jr. (JAC - RB),9,$9
157,Dylan Sampson (CLE - RB),9,$9
158,Mike Washington Jr. (LV - RB),9,$9
159,AJ Dillon (CAR - RB),9,$9
160,Tyler Allgeier (ARI - RB),9,$9
161,Braelon Allen (NYJ - RB),9,$9
162,Tank Dell (HOU - WR)INJ,9,$9
163,Dalton Schultz (HOU - TE),9,$9
164,Samaje Perine (CIN - RB),8,$8
165,Jordan Love (GB - QB),7,$7
166,Malik Willis (MIA - QB),7,$7
167,Kaelon Black (SF - RB),7,$7
168,Tyrone Tracy Jr. (NYG - RB),7,$7
169,Ty Johnson (BUF - RB)DTD,7,$7
170,Brian Robinson Jr. (ATL - RB),7,$7
171,Tank Bigsby (PHI - RB),7,$7
172,Adonai Mitchell (NYJ - WR),7,$7
173,Keaton Mitchell (LAC - RB)DTD,6,$6
174,Emari Demercado (KC - RB),6,$6
175,Sam Darnold (SEA - QB),5,$5
176,"Travis Hunter (JAC - WR,CB)",5,$5
177,Malik Washington (MIA - WR),5,$5
178,T.J. Hockenson (MIN - TE),5,$5
179,Pat Freiermuth (PIT - TE),5,$5
180,Jordan James (SF - RB),4,$4
181,Najee Harris (NYG - RB),4,$4
182,Germie Bernard (PIT - WR),4,$4
183,Jordyn Tyson (NO - WR)INJ,4,$4
184,Bub Means (NO - WR),4,$4
185,Antonio Williams (WAS - WR),4,$4
186,Jaylin Noel (HOU - WR),4,$4
187,Caleb Douglas (MIA - WR),4,$4
188,Greg Dulcich (MIA - TE),4,$4
189,Adam Randall (BAL - RB),3,$3
190,Omar Cooper Jr. (NYJ - WR),3,$3
191,Dontayvion Wicks (PHI - WR),3,$3
192,Tory Horton (SEA - WR)DTD,3,$3
193,Darius Slayton (NYG - WR),3,$3
194,Troy Franklin (DEN - WR),3,$3
195,Houston Texans (HOU - DST),3,$3
196,Denver Broncos (DEN - DST),3,$3
197,C.J. Stroud (HOU - QB),2,$2
198,Malik Davis (DAL - RB),2,$2
199,Chris Bell (MIA - WR),2,$2
200,Tyquan Thornton (KC - WR),2,$2
201,Terrance Ferguson (LAR - TE)DTD,2,$2
202,Minnesota Vikings (MIN - DST),2,$2
203,Pittsburgh Steelers (PIT - DST),2,$2
204,Seattle Seahawks (SEA - DST),2,$2
205,Los Angeles Chargers (LAC - DST),2,$2
206,Detroit Lions (DET - DST),2,$2
207,Los Angeles Rams (LAR - DST),2,$2
208,Buffalo Bills (BUF - DST),2,$2
209,Atlanta Falcons (ATL - DST),2,$2
210,Bryce Young (CAR - QB),1,$1
211,James Conner (ARI - RB)INJ,1,$1
212,Kimani Vidal (LAC - RB),1,$1
213,Xavier Legette (CAR - WR)DTD,1,$1
214,Cade Otton (TB - TE),1,$1
215,Kenyon Sadiq (NYJ - TE)DTD,1,$1
216,Philadelphia Eagles (PHI - DST),1,$1
217,Baltimore Ravens (BAL - DST),1,$1
218,Cleveland Browns (CLE - DST),1,$1
219,Chicago Bears (CHI - DST),1,$1
220,New Orleans Saints (NO - DST),1,$1
221,Jacksonville Jaguars (JAC - DST),1,$1
222,Brandon Aubrey (DAL - K),1,$1
223,Jason Myers (SEA - K),1,$1
224,Ka'imi Fairbairn (HOU - K),1,$1
225,Cameron Dicker (LAC - K),1,$1
226,Harrison Mevis (LAR - K),1,$1
227,Jake Bates (DET - K),1,$1
228,Blake Grupe (IND - K),1,$1
229,Cairo Santos (CHI - K),1,$1
230,Chase McLaughlin (TB - K),1,$1
231,Eddy Pineiro (SF - K),1,$1
232,Tyler Loop (BAL - K),1,$1
233,Harrison Butker (KC - K),1,$1
234,Cam Little (JAC - K),1,$1
235,Will Reichard (MIN - K),1,$1
236,Evan McPherson (CIN - K),1,$1
237,Wil Lutz (DEN - K),1,$1
238,Trey Smack (GB - K),-1,$0
239,AJ Barner (SEA - TE),-1,$0
240,Chig Okonkwo (WAS - TE),-1,$0
241,Cincinnati Bengals (CIN - DST),-1,$0
242,New England Patriots (NE - DST),-1,$0
243,Tampa Bay Buccaneers (TB - DST),-1,$0
244,Tennessee Titans (TEN - DST),-1,$0
245,Jahan Dotson (ATL - WR),-1,$0
246,Tyler Bass (BUF - K),-2,$0
247,Green Bay Packers (GB - DST),-2,$0
248,Indianapolis Colts (IND - DST),-2,$0
249,Washington Commanders (WAS - DST),-2,$0
250,Kansas City Chiefs (KC - DST),-2,$0
251,Dallas Cowboys (DAL - DST),-2,$0
252,New York Giants (NYG - DST),-2,$0
253,Miami Dolphins (MIA - DST),-2,$0
254,Arizona Cardinals (ARI - DST),-2,$0
255,Las Vegas Raiders (LV - DST),-2,$0
256,San Francisco 49ers (SF - DST),-2,$0
257,Carolina Panthers (CAR - DST),-2,$0
258,Tre' Harris (LAC - WR),-2,$0
259,Isaac TeSlaa (DET - WR),-2,$0
260,Ryan Flournoy (DAL - WR),-2,$0
261,Jaydon Blue (DAL - RB),-2,$0
262,Emanuel Wilson (SEA - RB),-2,$0
263,Jaylen Wright (MIA - RB),-2,$0
264,Nick Folk (ATL - K),-3,$0
265,Jake Elliott (PHI - K),-3,$0
266,Daniel Carlson (NO - K),-3,$0
267,Andy Borregales (NE - K),-3,$0
268,Chris Boswell (PIT - K),-3,$0
269,Drew Stevens (WAS - K),-3,$0
270,Darren Waller (CAR - TE),-3,$0
271,New York Jets (NYJ - DST),-3,$0
272,Christian Kirk (SF - WR),-3,$0
273,Ted Hurst III (TB - WR),-3,$0
274,Hollywood Brown (PHI - WR),-3,$0
275,Jalen Tolbert (MIA - WR),-3,$0
276,Malik Benson (LV - WR),-3,$0
277,Elic Ayomanor (TEN - WR),-3,$0
278,Jawhar Jordan (HOU - RB),-3,$0
279,Jonah Coleman (DEN - RB),-3,$0
280,Kyle Juszczyk (SF - RB),-3,$0
281,Riley Patterson (MIA - K),-4,$0
282,Joey Slye (TEN - K),-4,$0
283,Jason Sanders (NYJ - K),-4,$0
284,Evan Engram (DEN - TE),-4,$0
285,Xavier Hutchinson (HOU - WR),-4,$0
286,DeMario Douglas (NE - WR),-4,$0
287,Andrei Iosivas (CIN - WR),-4,$0
288,Chimere Dike (TEN - WR),-4,$0
289,Zachariah Branch (ATL - WR),-4,$0
290,Isaiah Davis (NYJ - RB),-4,$0
291,George Holani (SEA - RB),-4,$0
292,Chris Brooks (GB - RB),-4,$0
293,Chad Ryland (ARI - K),-5,$0
294,Gunnar Helm (TEN - TE),-5,$0
295,David Njoku (LAC - TE),-5,$0
296,Mike Gesicki (CIN - TE),-5,$0
297,Keon Coleman (BUF - WR),-5,$0
298,Darnell Mooney (NYG - WR),-5,$0
299,LeQuint Allen Jr. (JAC - RB),-5,$0
300,Jerome Ford (WAS - RB),-5,$0
301,Frank Gore Jr. (BUF - RB),-5,$0
302,Roschon Johnson (CHI - RB),-5,$0
303,Ollie Gordon II (MIA - RB),-5,$0
304,Emmett Johnson (KC - RB),-5,$0
305,Trayveon Williams (DET - RB),-5,$0
306,Ray Davis (BUF - RB),-5,$0
307,DJ Giddens (IND - RB),-5,$0
308,Geno Smith (NYJ - QB),-6,$0
309,Oronde Gadsden II (LAC - TE),-6,$0
310,Pat Bryant (DEN - WR),-6,$0
311,Joshua Palmer (BUF - WR),-6,$0
312,Sean Tucker (TB - RB),-6,$0
313,Austin Ekeler ( - RB),-6,$0
314,Brashard Smith (KC - RB),-6,$0
315,Cam Ward (TEN - QB),-7,$0
316,Jacoby Brissett (ARI - QB),-7,$0
317,Ashton Dulin (IND - WR),-7,$0
318,Malachi Fields (NYG - WR),-7,$0
319,Marvin Mims Jr. (DEN - WR),-7,$0
320,KaVontae Turpin (DAL - WR),-7,$0
321,Devontez Walker (BAL - WR),-7,$0
322,Jack Bech (LV - WR),-7,$0
323,Elijah Mitchell ( - RB),-7,$0
324,Mason Taylor (NYJ - TE),-8,$0
325,Aaron Rodgers (PIT - QB),-9,$0
326,Colby Parkinson (LAR - TE),-9,$0
327,Michael Mayer (LV - TE),-10,$0
328,Dawson Knox (BUF - TE),-11,$0
329,Theo Johnson (NYG - TE),-12,$0
330,Darnell Washington (PIT - TE),-13,$0
331,Jonnu Smith (GB - TE),-14,$0
332,Tyler Higbee (LAR - TE),-14,$0
333,Cole Kmet (CHI - TE),-15,$0
334,Erick All Jr. (CIN - TE),-15,$0
335,Fernando Mendoza (LV - QB),-17,$0
336,Deshaun Watson (CLE - QB),-31,$0
337,Tua Tagovailoa (ATL - QB),-35,$0
338,Michael Penix Jr. (ATL - QB),-35,$0
339,Shedeur Sanders (CLE - QB),-38,$0
